HHID,Semel,HHsize,HHChild8,Sector,HHVeh,HHBikes,HHUnitArea,Day1,Day2,NewTaz,StatZn,Status,HHType,Mosad,WF,Source,HHMembers,Version
272002150,2720,2,0,4,2,0,150,09/03/2014,,6523,4,1,21,1,98.751434,3,|2|2|,1.06
272003010,2720,2,0,4,2,0,150,05/06/2014,,6523,4,1,21,1,98.751434,3,|2|2|,1.06
272003020,2720,3,0,4,2,0,998,25/05/2014,,6523,4,1,22,1,98.751434,3,|3|3|4|,1.06
272003030,2720,2,0,4,2,0,150,30/03/2014,,6523,4,1,21,1,98.751434,3,|2|2|,1.06
272003040,2720,2,0,4,1,0,120,28/05/2014,,6523,4,1,21,1,98.751434,3,|2|2|,1.06
272003050,2720,2,0,4,2,0,100,30/03/2014,,6523,4,1,21,1,98.751434,3,|2|2|,1.06
272003070,2720,4,0,4,3,0,200,27/04/2014,,6523,4,1,22,1,98.751434,3,|3|3|4|4|,1.06
272003080,2720,3,0,4,2,0,998,02/06/2014,,6523,4,1,23,1,98.751434,3,|3|4|4|,1.06
272003090,2720,4,0,4,3,0,150,04/05/2014,,6523,4,1,22,1,198.733414,3,|3|3|4|4|,1.06
272003100,2720,2,0,4,2,0,120,29/04/2014,,6523,4,1,21,1,98.751434,3,|2|2|,1.06
272003110,2720,4,0,4,2,0,130,25/05/2014,,6523,4,1,22,1,98.751434,3,|3|3|4|4|,1.06
272003120,2720,2,0,4,2,0,998,28/05/2014,,6523,4,1,21,1,98.751434,3,|2|2|,1.06
272003130,2720,2,0,4,2,0,140,29/04/2014,,6521,4,1,21,1,98.751434,3,|2|2|,1.06
272003140,2720,3,0,4,2,0,120,24/04/2014,,6523,4,1,22,1,98.751434,3,|3|3|4|,1.06
272003150,2720,2,0,4,2,1,150,24/04/2014,,6523,4,1,21,1,98.751434,3,|2|2|,1.06
272004030,2720,3,0,1,2,1,180,01/06/2014,,6524,4,1,22,1,98.751434,3,|3|3|4|,1.06
272004040,2720,4,0,1,2,0,160,27/05/2014,,6523,4,1,22,1,98.751434,3,|3|3|4|4|,1.06
272004070,2720,4,2,1,1,0,170,28/05/2014,,6523,4,1,22,1,98.751434,3,|3|3|4|4|,1.06
272004100,2720,2,0,1,1,0,160,27/05/2014,,6523,4,1,23,1,98.751434,3,|3|4|,1.06
272004130,2720,2,0,1,0,1,110,28/05/2014,,6523,4,1,22,1,98.751434,3,|3|3|,1.06
272004150,2720,5,2,1,1,0,120,27/05/2014,,6523,4,1,22,1,98.751434,3,|2|2|4|4|5|,1.06
272005010,2720,7,0,1,2,0,140,20/05/2014,,6523,4,1,22,1,98.751434,3,|3|3|4|4|4|4|4|,1.06
272005021,2720,3,0,1,2,0,140,02/06/2014,,6523,4,1,22,1,98.751434,3,|3|3|4|,1.06
272005031,2720,2,0,1,0,0,160,02/06/2014,,6523,4,1,21,1,98.751434,3,|2|2|,1.06
272005040,2720,4,1,1,1,1,165,20/05/2014,,6523,4,1,22,1,98.751434,3,|3|3|4|4|,1.06
272005060,2720,2,0,1,0,0,998,22/05/2014,,6521,4,1,23,1,98.751434,3,|3|4|,1.06
272005070,2720,2,0,1,2,0,70,22/05/2014,,6523,4,1,21,1,98.751434,3,|2|2|,1.06
272005080,2720,2,0,1,0,1,120,20/05/2014,,6523,4,1,21,1,98.751434,3,|2|2|,1.06
272005100,2720,4,2,1,2,2,140,21/05/2014,,6523,5,1,22,1,98.751434,3,|3|3|4|4|,1.06
272005130,2720,5,0,1,2,0,998,26/05/2014,,6523,4,1,22,1,98.751434,3,|3|3|4|4|4|,1.06
272005140,2720,5,0,1,1,0,120,25/05/2014,,6523,4,1,22,1,98.751434,3,|3|3|4|4|4|,1.06
272005150,2720,5,1,1,1,1,90,02/06/2014,,6523,4,1,23,1,98.751434,3,|3|4|5|6|6|,1.06
272006010,2720,4,0,4,2,0,150,24/03/2014,,6523,4,1,22,1,98.751434,3,|3|3|4|4|,1.06
272006011,2720,3,1,1,1,0,80,01/06/2014,,6523,4,1,22,1,98.751434,3,|3|3|4|,1.06
272006020,2720,6,2,4,2,0,130,25/03/2014,,6527,4,1,22,1,98.751434,3,|3|3|4|4|4|4|,1.06
272006031,2720,5,1,1,2,1,85,19/05/2014,,6523,4,1,22,1,98.751434,3,|3|3|4|4|4|,1.06
272006040,2720,6,1,1,1,1,998,15/05/2014,,6521,4,1,22,1,98.751434,3,|3|3|4|4|4|4|,1.06
272006050,2720,2,0,4,1,0,140,27/03/2014,,6523,4,1,21,1,98.751434,3,|2|2|,1.06
272006061,2720,6,0,1,2,0,160,05/06/2014,,6523,4,1,21,1,98.751434,3,|3|4|6|6|6|6|,1.06
272006080,2720,2,0,4,1,0,120,25/03/2014,,6523,4,1,21,1,98.751434,3,|2|2|,1.06
272006081,2720,7,0,1,1,0,999,15/05/2014,,6523,4,1,22,1,98.751434,3,|3|3|4|4|4|4|4|,1.06
272006090,2720,4,0,3,1,0,999,21/05/2014,,6523,4,1,22,1,98.751434,3,|3|3|4|4|,1.06
272006110,2720,3,0,1,1,0,998,15/05/2014,,6523,4,1,22,1,98.751434,3,|3|3|4|,1.06
272006130,2720,7,2,1,1,0,120,19/05/2014,,6523,4,1,22,1,98.751434,3,|3|3|4|4|4|4|4|,1.06
272006140,2720,1,0,3,0,0,998,26/05/2014,,6523,4,1,10,1,98.751434,3,|1|,1.06
272006150,2720,2,0,1,1,0,90,29/05/2014,,6523,4,1,33,1,98.751434,3,|6|6|,1.06
500003030,5000,2,0,1,2,0,300,15/01/2014,,1123,115,1,21,1,84.491798,3,|2|2|,1.06
500003080,5000,2,0,1,2,0,137,13/01/2014,,1123,115,1,21,1,85.437332,3,|2|2|,1.06
500003090,5000,4,0,1,2,4,160,13/01/2014,,1123,115,1,22,1,85.437332,3,|3|3|4|4|,1.06
500003130,5000,1,0,1,1,0,105,14/01/2014,,1123,115,1,10,1,85.437332,3,|1|,1.06
500003150,5000,2,0,1,2,0,299,14/01/2014,,1123,115,1,21,1,84.491798,3,|2|2|,1.06
500004030,5000,2,0,1,1,0,220,26/01/2014,,1123,115,1,21,1,78.340172,3,|2|2|,1.06
500004150,5000,5,0,1,2,7,998,27/01/2014,,1123,115,1,23,1,84.491798,3,|3|4|4|4|4|,1.06
500005011,5000,2,0,1,1,0,998,12/02/2014,,1123,115,1,21,1,84.491798,3,|2|2|,1.06
500005020,5000,2,0,1,1,0,119,05/02/2014,,1123,115,1,21,1,85.437332,3,|2|2|,1.06
500005061,5000,2,0,1,1,1,998,12/02/2014,,1123,115,1,21,1,84.491798,3,|2|2|,1.06
500005070,5000,6,2,1,1,6,998,09/02/2014,,1123,115,1,22,1,84.491798,3,|3|3|4|4|4|4|,1.06
500005090,5000,5,1,1,2,5,998,02/02/2014,,1123,115,1,22,1,85.437332,3,|3|3|4|4|4|,1.06
500005110,5000,2,0,1,2,1,999,05/02/2014,,1123,115,1,21,1,78.340172,3,|2|2|,1.06
500006120,5000,2,0,1,1,0,998,09/02/2014,,1123,115,1,21,1,85.437332,3,|2|2|,1.06
500006130,5000,2,0,1,2,1,90,02/02/2014,,1123,115,1,21,1,85.437332,3,|2|2|,1.06
500007010,5000,4,0,1,2,1,180,03/03/2014,,1123,115,1,22,1,78.340172,3,|3|3|4|4|,1.06
500007020,5000,6,0,1,2,3,300,04/03/2014,,1123,115,1,21,1,78.340172,3,|3|4|6|6|6|6|,1.06
500007060,5000,2,0,1,2,1,300,03/03/2014,,1123,115,1,21,1,84.491798,3,|2|2|,1.06
500007100,5000,4,0,1,3,2,200,03/03/2014,,1123,115,1,22,1,78.340172,3,|3|3|4|4|,1.06
500007110,5000,2,0,1,1,1,200,03/03/2014,,1123,115,1,23,1,78.340172,3,|3|4|,1.06
500007130,5000,3,0,1,1,2,200,03/03/2014,,1123,115,1,22,1,78.340172,3,|3|3|4|,1.06
